segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s000.265,640,360,9.5,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00017294,0.006918,0.007609,9.1
AncientThought_s000.265,960,540,12.2,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00022182,0.008873,0.00976,9.1
AncientThought_s000.265,1280,720,15.8,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00029548,0.011819,0.013001,9.1
AncientThought_s000.265,1920,1080,23.6,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00045999,0.0184,0.02024,9.1
AncientThought_s000.265,2560,1440,35.0,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00068413,0.027365,0.030102,9.1
AncientThought_s000.265,3840,2160,71.4,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00140498,0.056199,0.061819,9.1
AncientThought_s001.265,640,360,8.8,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00015562,0.006225,0.006847,9.1
AncientThought_s001.265,960,540,11.4,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00020197,0.008079,0.008887,9.1
AncientThought_s001.265,1280,720,14.6,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00027013,0.010805,0.011886,9.1
AncientThought_s001.265,1920,1080,21.8,TEMPORAL,ca-central-1,2026-05-14 00:00:00+00:00,40.0,44.0,40.0,44.0,0.00042259,0.016904,0.018594,9.1
