segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s000.265,640,360,9.5,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00017294,0.051709,0.054822,5.7
AncientThought_s000.265,960,540,12.2,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00022182,0.066324,0.070316,5.7
AncientThought_s000.265,1280,720,15.8,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00029548,0.088349,0.093668,5.7
AncientThought_s000.265,1920,1080,23.6,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00045999,0.137538,0.145818,5.7
AncientThought_s000.265,2560,1440,35.0,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00068413,0.204554,0.216869,5.7
AncientThought_s000.265,3840,2160,71.4,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00140498,0.420088,0.445378,5.7
AncientThought_s001.265,640,360,8.8,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00015562,0.046531,0.049332,5.7
AncientThought_s001.265,960,540,11.4,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00020197,0.060389,0.064025,5.7
AncientThought_s001.265,1280,720,14.6,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00027013,0.08077,0.085632,5.7
AncientThought_s001.265,1920,1080,21.8,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00042259,0.126356,0.133962,5.7
AncientThought_s001.265,2560,1440,32.1,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00062468,0.186779,0.198023,5.7
AncientThought_s001.265,3840,2160,65.8,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00129558,0.387377,0.410697,5.7
AncientThought_s002.265,640,360,8.3,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.0001484,0.044371,0.047043,5.7
AncientThought_s002.265,960,540,10.3,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00018651,0.055765,0.059122,5.7
AncientThought_s002.265,1280,720,13.3,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00024769,0.074059,0.078518,5.7
AncientThought_s002.265,1920,1080,19.6,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00037949,0.113468,0.120299,5.7
AncientThought_s002.265,2560,1440,28.5,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00055705,0.166558,0.176585,5.7
AncientThought_s002.265,3840,2160,59.1,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00116011,0.346873,0.367754,5.7
AncientThought_s003.265,640,360,8.5,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00015195,0.045432,0.048167,5.7
AncientThought_s003.265,960,540,10.3,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00018472,0.055232,0.058557,5.7
AncientThought_s003.265,1280,720,12.8,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00023779,0.071098,0.075378,5.7
AncientThought_s003.265,1920,1080,18.4,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00035266,0.105447,0.111794,5.7
AncientThought_s003.265,2560,1440,25.9,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00049953,0.149361,0.158352,5.7
AncientThought_s003.265,3840,2160,50.9,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00099512,0.297541,0.315453,5.7
AncientThought_s004.265,640,360,7.3,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00012844,0.038405,0.040716,5.7
AncientThought_s004.265,960,540,9.1,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00016049,0.047986,0.050874,5.7
AncientThought_s004.265,1280,720,11.1,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00020185,0.060352,0.063985,5.7
AncientThought_s004.265,1920,1080,16.2,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00031126,0.093066,0.098668,5.7
AncientThought_s004.265,2560,1440,22.7,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00043621,0.130428,0.138279,5.7
AncientThought_s004.265,3840,2160,43.3,TEMPORAL,ca-west-1,2026-05-14 16:40:00+00:00,299.0,317.0,299.0,317.0,0.00083843,0.250691,0.265782,5.7
