segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s000.265,640,360,9.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00017294,0.007609,0.056205,86.5
AncientThought_s000.265,960,540,12.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00022182,0.00976,0.072091,86.5
AncientThought_s000.265,1280,720,15.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00029548,0.013001,0.096031,86.5
AncientThought_s000.265,1920,1080,23.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00045999,0.02024,0.149498,86.5
AncientThought_s000.265,2560,1440,35.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00068413,0.030102,0.222342,86.5
AncientThought_s000.265,3840,2160,71.4,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00140498,0.061819,0.456618,86.5
AncientThought_s001.265,640,360,8.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00015562,0.006847,0.050577,86.5
AncientThought_s001.265,960,540,11.4,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00020197,0.008887,0.065641,86.5
AncientThought_s001.265,1280,720,14.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00027013,0.011886,0.087793,86.5
AncientThought_s001.265,1920,1080,21.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00042259,0.018594,0.137343,86.5
AncientThought_s001.265,2560,1440,32.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00062468,0.027486,0.20302,86.5
AncientThought_s001.265,3840,2160,65.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00129558,0.057005,0.421062,86.5
AncientThought_s002.265,640,360,8.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.0001484,0.00653,0.04823,86.5
AncientThought_s002.265,960,540,10.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00018651,0.008206,0.060614,86.5
AncientThought_s002.265,1280,720,13.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00024769,0.010898,0.080499,86.5
AncientThought_s002.265,1920,1080,19.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00037949,0.016698,0.123335,86.5
AncientThought_s002.265,2560,1440,28.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00055705,0.02451,0.181042,86.5
AncientThought_s002.265,3840,2160,59.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00116011,0.051045,0.377035,86.5
AncientThought_s003.265,640,360,8.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00015195,0.006686,0.049382,86.5
AncientThought_s003.265,960,540,10.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00018472,0.008128,0.060035,86.5
AncientThought_s003.265,1280,720,12.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00023779,0.010463,0.077281,86.5
AncientThought_s003.265,1920,1080,18.4,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00035266,0.015517,0.114616,86.5
AncientThought_s003.265,2560,1440,25.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00049953,0.021979,0.162348,86.5
AncientThought_s003.265,3840,2160,50.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00099512,0.043785,0.323414,86.5
AncientThought_s004.265,640,360,7.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00012844,0.005652,0.041744,86.5
AncientThought_s004.265,960,540,9.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00016049,0.007061,0.052158,86.5
AncientThought_s004.265,1280,720,11.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00020185,0.008881,0.0656,86.5
AncientThought_s004.265,1920,1080,16.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00031126,0.013695,0.101158,86.5
AncientThought_s004.265,2560,1440,22.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00043621,0.019193,0.141769,86.5
AncientThought_s004.265,3840,2160,43.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00083843,0.036891,0.27249,86.5
AncientThought_s005.265,640,360,7.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00013838,0.006089,0.044972,86.5
AncientThought_s005.265,960,540,9.4,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.0001703,0.007493,0.055346,86.5
AncientThought_s005.265,1280,720,11.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00021626,0.009516,0.070286,86.5
AncientThought_s005.265,1920,1080,17.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00033148,0.014585,0.10773,86.5
AncientThought_s005.265,2560,1440,24.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.0004702,0.020689,0.152815,86.5
AncientThought_s005.265,3840,2160,46.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00090877,0.039986,0.295351,86.5
AncientThought_s006.265,640,360,8.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00014594,0.006422,0.047432,86.5
AncientThought_s006.265,960,540,9.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00017213,0.007574,0.055942,86.5
AncientThought_s006.265,1280,720,11.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00021423,0.009426,0.069624,86.5
AncientThought_s006.265,1920,1080,16.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00032354,0.014236,0.105152,86.5
AncientThought_s006.265,2560,1440,23.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00045971,0.020227,0.149406,86.5
AncientThought_s006.265,3840,2160,45.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00088208,0.038812,0.286677,86.5
AncientThought_s007.265,640,360,8.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00014635,0.00644,0.047565,86.5
AncientThought_s007.265,960,540,9.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00017349,0.007634,0.056384,86.5
AncientThought_s007.265,1280,720,11.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.0002161,0.009508,0.070232,86.5
AncientThought_s007.265,1920,1080,17.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00032836,0.014448,0.106718,86.5
AncientThought_s007.265,2560,1440,24.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00046587,0.020498,0.151408,86.5
AncientThought_s007.265,3840,2160,46.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.0008902,0.039169,0.289316,86.5
AncientThought_s008.265,640,360,9.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00016159,0.00711,0.052518,86.5
AncientThought_s008.265,960,540,10.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00019431,0.00855,0.06315,86.5
AncientThought_s008.265,1280,720,13.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00023966,0.010545,0.077889,86.5
AncientThought_s008.265,1920,1080,18.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00035169,0.015474,0.114298,86.5
AncientThought_s008.265,2560,1440,25.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00050235,0.022103,0.163263,86.5
AncientThought_s008.265,3840,2160,50.0,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00096719,0.042557,0.314338,86.5
AncientThought_s009.265,640,360,11.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,319.0,44.0,44.0,325.0,0.00020365,0.00896,0.066185,86.5
