segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s000.265,640,360,9.5,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00017294,0.007782,0.010203,23.7
AncientThought_s000.265,960,540,12.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00022182,0.009982,0.013087,23.7
AncientThought_s000.265,1280,720,15.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00029548,0.013297,0.017433,23.7
AncientThought_s000.265,1920,1080,23.6,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00045999,0.0207,0.02714,23.7
AncientThought_s000.265,2560,1440,35.0,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00068413,0.030786,0.040364,23.7
AncientThought_s000.265,3840,2160,71.4,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00140498,0.063224,0.082894,23.7
AncientThought_s001.265,640,360,8.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00015562,0.007003,0.009182,23.7
AncientThought_s001.265,960,540,11.4,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00020197,0.009089,0.011916,23.7
AncientThought_s001.265,1280,720,14.6,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00027013,0.012156,0.015938,23.7
AncientThought_s001.265,1920,1080,21.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00042259,0.019017,0.024933,23.7
AncientThought_s001.265,2560,1440,32.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00062468,0.028111,0.036856,23.7
AncientThought_s001.265,3840,2160,65.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00129558,0.058301,0.076439,23.7
AncientThought_s002.265,640,360,8.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0001484,0.006678,0.008756,23.7
AncientThought_s002.265,960,540,10.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00018651,0.008393,0.011004,23.7
AncientThought_s002.265,1280,720,13.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00024769,0.011146,0.014614,23.7
AncientThought_s002.265,1920,1080,19.6,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00037949,0.017077,0.02239,23.7
AncientThought_s002.265,2560,1440,28.5,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00055705,0.025067,0.032866,23.7
AncientThought_s002.265,3840,2160,59.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00116011,0.052205,0.068446,23.7
AncientThought_s003.265,640,360,8.5,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00015195,0.006838,0.008965,23.7
AncientThought_s003.265,960,540,10.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00018472,0.008312,0.010899,23.7
AncientThought_s003.265,1280,720,12.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00023779,0.0107,0.014029,23.7
AncientThought_s003.265,1920,1080,18.4,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00035266,0.01587,0.020807,23.7
AncientThought_s003.265,2560,1440,25.9,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00049953,0.022479,0.029472,23.7
AncientThought_s003.265,3840,2160,50.9,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00099512,0.04478,0.058712,23.7
AncientThought_s004.265,640,360,7.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00012844,0.00578,0.007578,23.7
AncientThought_s004.265,960,540,9.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00016049,0.007222,0.009469,23.7
AncientThought_s004.265,1280,720,11.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00020185,0.009083,0.011909,23.7
AncientThought_s004.265,1920,1080,16.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00031126,0.014007,0.018364,23.7
AncientThought_s004.265,2560,1440,22.7,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00043621,0.01963,0.025737,23.7
AncientThought_s004.265,3840,2160,43.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00083843,0.037729,0.049467,23.7
AncientThought_s005.265,640,360,7.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00013838,0.006227,0.008164,23.7
AncientThought_s005.265,960,540,9.4,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0001703,0.007663,0.010047,23.7
AncientThought_s005.265,1280,720,11.7,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00021626,0.009732,0.01276,23.7
AncientThought_s005.265,1920,1080,17.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00033148,0.014916,0.019557,23.7
AncientThought_s005.265,2560,1440,24.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0004702,0.021159,0.027742,23.7
AncientThought_s005.265,3840,2160,46.9,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00090877,0.040895,0.053618,23.7
AncientThought_s006.265,640,360,8.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00014594,0.006568,0.008611,23.7
AncientThought_s006.265,960,540,9.6,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00017213,0.007746,0.010156,23.7
AncientThought_s006.265,1280,720,11.6,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00021423,0.00964,0.012639,23.7
AncientThought_s006.265,1920,1080,16.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00032354,0.014559,0.019089,23.7
AncientThought_s006.265,2560,1440,23.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00045971,0.020687,0.027123,23.7
AncientThought_s006.265,3840,2160,45.7,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00088208,0.039694,0.052043,23.7
AncientThought_s007.265,640,360,8.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00014635,0.006586,0.008635,23.7
AncientThought_s007.265,960,540,9.5,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00017349,0.007807,0.010236,23.7
AncientThought_s007.265,1280,720,11.7,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0002161,0.009724,0.01275,23.7
AncientThought_s007.265,1920,1080,17.0,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00032836,0.014776,0.019373,23.7
AncientThought_s007.265,2560,1440,24.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00046587,0.020964,0.027486,23.7
AncientThought_s007.265,3840,2160,46.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0008902,0.040059,0.052522,23.7
AncientThought_s008.265,640,360,9.0,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00016159,0.007272,0.009534,23.7
AncientThought_s008.265,960,540,10.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00019431,0.008744,0.011464,23.7
AncientThought_s008.265,1280,720,13.0,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00023966,0.010785,0.01414,23.7
AncientThought_s008.265,1920,1080,18.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00035169,0.015826,0.02075,23.7
AncientThought_s008.265,2560,1440,25.9,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00050235,0.022606,0.029639,23.7
AncientThought_s008.265,3840,2160,50.0,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00096719,0.043524,0.057064,23.7
AncientThought_s009.265,640,360,11.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00020365,0.009164,0.012015,23.7
AncientThought_s009.265,960,540,13.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00024789,0.011155,0.014626,23.7
AncientThought_s009.265,1280,720,16.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0003116,0.014022,0.018384,23.7
AncientThought_s009.265,1920,1080,23.1,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00045095,0.020293,0.026606,23.7
AncientThought_s009.265,2560,1440,32.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00063857,0.028735,0.037675,23.7
AncientThought_s009.265,3840,2160,64.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00125641,0.056538,0.074128,23.7
AncientThought_s010.265,640,360,9.6,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00016973,0.007638,0.010014,23.7
AncientThought_s010.265,960,540,11.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00020187,0.009084,0.01191,23.7
AncientThought_s010.265,1280,720,13.4,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00024462,0.011008,0.014433,23.7
AncientThought_s010.265,1920,1080,18.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00035545,0.015995,0.020972,23.7
AncientThought_s010.265,2560,1440,26.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00050302,0.022636,0.029678,23.7
AncientThought_s010.265,3840,2160,51.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00099369,0.044716,0.058628,23.7
AncientThought_s011.265,640,360,8.9,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00016182,0.007282,0.009548,23.7
AncientThought_s011.265,960,540,10.7,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00019644,0.00884,0.01159,23.7
AncientThought_s011.265,1280,720,13.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00024423,0.01099,0.01441,23.7
AncientThought_s011.265,1920,1080,19.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00037498,0.016874,0.022124,23.7
AncientThought_s011.265,2560,1440,27.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00054023,0.02431,0.031874,23.7
AncientThought_s011.265,3840,2160,55.5,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.001087,0.048915,0.064133,23.7
AncientThought_s012.265,640,360,8.8,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0001571,0.007069,0.009269,23.7
AncientThought_s012.265,960,540,10.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00018801,0.00846,0.011092,23.7
AncientThought_s012.265,1280,720,12.7,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00023638,0.010637,0.013947,23.7
AncientThought_s012.265,1920,1080,18.2,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00035048,0.015772,0.020678,23.7
AncientThought_s012.265,2560,1440,25.7,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00049562,0.022303,0.029241,23.7
AncientThought_s012.265,3840,2160,50.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.0009764,0.043938,0.057608,23.7
AncientThought_s013.265,640,360,9.3,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00016643,0.007489,0.009819,23.7
AncientThought_s013.265,960,540,11.5,TEMPORAL,us-west-1,2026-05-16 18:15:00+00:00,45.0,59.0,45.0,59.0,0.00020721,0.009324,0.012225,23.7
AncientThought_s013.265,1280,720,14.3,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00026808,0.012064,0.015817,23.7
AncientThought_s013.265,1920,1080,20.8,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00040411,0.018185,0.023842,23.7
AncientThought_s013.265,2560,1440,30.5,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00059157,0.026621,0.034903,23.7
AncientThought_s013.265,3840,2160,59.6,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00115881,0.052147,0.06837,23.7
AncientThought_s014.265,640,360,8.8,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00016083,0.007237,0.009489,23.7
AncientThought_s014.265,960,540,10.6,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00019429,0.008743,0.011463,23.7
AncientThought_s014.265,1280,720,13.0,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00024344,0.010955,0.014363,23.7
AncientThought_s014.265,1920,1080,18.6,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00035772,0.016098,0.021106,23.7
AncientThought_s014.265,2560,1440,26.7,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00051577,0.02321,0.030431,23.7
AncientThought_s014.265,3840,2160,51.9,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00101634,0.045735,0.059964,23.7
AncientThought_s015.265,640,360,8.9,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00016043,0.007219,0.009465,23.7
AncientThought_s015.265,960,540,10.6,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.0001925,0.008662,0.011357,23.7
AncientThought_s015.265,1280,720,13.0,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00024269,0.010921,0.014319,23.7
AncientThought_s015.265,1920,1080,18.7,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00036247,0.016311,0.021386,23.7
AncientThought_s015.265,2560,1440,27.0,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00052071,0.023432,0.030722,23.7
AncientThought_s015.265,3840,2160,52.1,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00101554,0.045699,0.059917,23.7
AncientThought_s016.265,640,360,8.7,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.0001563,0.007033,0.009222,23.7
AncientThought_s016.265,960,540,10.3,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.0001882,0.008469,0.011104,23.7
AncientThought_s016.265,1280,720,12.4,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00023134,0.01041,0.013649,23.7
AncientThought_s016.265,1920,1080,17.6,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00033831,0.015224,0.01996,23.7
AncientThought_s016.265,2560,1440,25.3,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00048793,0.021957,0.028788,23.7
AncientThought_s016.265,3840,2160,49.9,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00097083,0.043687,0.057279,23.7
AncientThought_s017.265,640,360,9.2,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00016328,0.007348,0.009634,23.7
AncientThought_s017.265,960,540,11.1,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00020035,0.009016,0.011821,23.7
AncientThought_s017.265,1280,720,13.8,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00025637,0.011537,0.015126,23.7
AncientThought_s017.265,1920,1080,20.0,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00038388,0.017274,0.022649,23.7
AncientThought_s017.265,2560,1440,28.4,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00054991,0.024746,0.032445,23.7
AncientThought_s017.265,3840,2160,55.9,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00108137,0.048661,0.063801,23.7
AncientThought_s018.265,640,360,10.0,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.0001819,0.008186,0.010732,23.7
AncientThought_s018.265,960,540,12.0,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00022085,0.009938,0.01303,23.7
AncientThought_s018.265,1280,720,14.7,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00027598,0.012419,0.016283,23.7
AncientThought_s018.265,1920,1080,21.3,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00041452,0.018653,0.024457,23.7
AncientThought_s018.265,2560,1440,30.9,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00060737,0.027332,0.035835,23.7
AncientThought_s018.265,3840,2160,62.0,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00121929,0.054868,0.071938,23.7
AncientThought_s019.265,640,360,9.2,TEMPORAL,us-west-1,2026-05-16 18:10:00+00:00,45.0,59.0,45.0,59.0,0.00016297,0.007334,0.009615,23.7
