signal_key,signal_label,region,datetime,value,unit,temporality,zone,dataCenterProvider,dataCenterRegion,endpoint_used,field_used
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 20:40:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 20:45:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 20:50:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 20:55:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:00:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:05:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:10:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:15:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:20:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:25:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:30:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:35:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:40:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:45:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-10 21:50:00+00:00,98.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
