input_file_name,width,height,bitrate [kb/s],duration [s],model_cpu_energy [kWh]
AncientThought_s000.265,640,360,145,8.675861597061157,0.000172938841168
AncientThought_s000.265,960,540,1600,11.115601539611816,0.0002218180040571
AncientThought_s000.265,1280,720,3400,14.343756675720217,0.0002954813875198
AncientThought_s000.265,1920,1080,5800,21.47278618812561,0.0004599947974522
AncientThought_s000.265,2560,1440,8100,31.836364030838013,0.0006841280892848
AncientThought_s000.265,3840,2160,16800,64.91166710853577,0.0014049769725269
AncientThought_s001.265,640,360,145,7.994249105453491,0.0001556213825861
AncientThought_s001.265,960,540,1600,10.339810371398926,0.0002019709625879
AncientThought_s001.265,1280,720,3400,13.285194158554075,0.0002701322812239
AncientThought_s001.265,1920,1080,5800,19.850467205047607,0.0004225943907207
AncientThought_s001.265,2560,1440,8100,29.220898151397705,0.0006246778671476
AncientThought_s001.265,3840,2160,16800,59.79578733444214,0.0012955753922462
AncientThought_s002.265,640,360,145,7.511768817901611,0.0001483991662025
AncientThought_s002.265,960,540,1600,9.366907835006714,0.0001865055426703
AncientThought_s002.265,1280,720,3400,12.115275382995604,0.0002476900744967
AncientThought_s002.265,1920,1080,5800,17.82576823234558,0.0003794907992574
AncientThought_s002.265,2560,1440,8100,25.86924242973328,0.0005570510203202
AncientThought_s002.265,3840,2160,16800,53.70873665809631,0.0011601087118148
AncientThought_s003.265,640,360,145,7.752305507659912,0.0001519451879501
AncientThought_s003.265,960,540,1600,9.33986210823059,0.0001847217172516
AncientThought_s003.265,1280,720,3400,11.643510103225708,0.0002377863507747
AncientThought_s003.265,1920,1080,5800,16.705137491226196,0.0003526640137036
AncientThought_s003.265,2560,1440,8100,23.56290340423584,0.0004995335521697
AncientThought_s003.265,3840,2160,16800,46.3086211681366,0.0009951208148797
AncientThought_s004.265,640,360,145,6.65892219543457,0.0001284432103474
AncientThought_s004.265,960,540,1600,8.310606718063354,0.0001604870497332
AncientThought_s004.265,1280,720,3400,10.12606120109558,0.0002018461532751
AncientThought_s004.265,1920,1080,5800,14.743713617324827,0.0003112561763657
AncientThought_s004.265,2560,1440,8100,20.619285583496094,0.0004362124416775
AncientThought_s004.265,3840,2160,16800,39.34239220619202,0.000838430091683
AncientThought_s005.265,640,360,145,7.059949159622192,0.0001383750035285
AncientThought_s005.265,960,540,1600,8.543280601501465,0.0001702960599899
AncientThought_s005.265,1280,720,3400,10.670947074890137,0.0002162645273844
AncientThought_s005.265,1920,1080,5800,15.554117202758787,0.0003314755199432
AncientThought_s005.265,2560,1440,8100,21.971933126449585,0.000470199368906
AncientThought_s005.265,3840,2160,16800,42.59868550300598,0.0009087719573974
